"id";"title";"stars";"conments_Num"
1;"SRE : Google运维解密";"9.0";"(243人评价)"
2;"凤凰项目 : 一个IT运维的传奇故事";"8.7";"(578人评价)"
3;"Redis开发与运维";"9.0";"(181人评价)"
4;"Python自动化运维 : 技术与最佳实践";"5.4";"(100人评价)"
5;"DevOps故障排除 : Linux服务器运维最佳实践";"7.0";"(39人评价)"
6;"跟老男孩学Linux运维：Web集群实战";"8.1";"(19人评价)"
7;"海量运维、运营规划之道";"6.9";"(118人评价)"
8;"Python Linux系统管理与自动化运维";"8.1";"(28人评价)"
9;"高性能Linux服务器构建实战 : 运维监控、性能调优与集群应用";"6.4";"(99人评价)"
10;"App 后台开发运维和架构实践";"7.2";"(62人评价)"
11;"高性能Linux服务器构建实战 : 系统安全、故障排查、自动化运维与集群架构";"6.6";"(39人评价)"
12;"进化 : 运维技术变革与实践探索";"8.0";"(29人评价)"
13;"决战Nginx系统卷 : 高性能Web服务器详解与运维";"5.6";"(26人评价)"
14;"决战Nginx技术卷 : 高性能Web服务器部署与运维";"(评价人数不足)";"(57人评价)"
15;"SRE : Google运维解密";"9.0";"(243人评价)"
16;"凤凰项目 : 一个IT运维的传奇故事";"8.7";"(578人评价)"
17;"Redis开发与运维";"9.0";"(181人评价)"
18;"Python自动化运维 : 技术与最佳实践";"5.4";"(100人评价)"
19;"DevOps故障排除 : Linux服务器运维最佳实践";"7.0";"(39人评价)"
20;"跟老男孩学Linux运维：Web集群实战";"8.1";"(19人评价)"
21;"海量运维、运营规划之道";"6.9";"(118人评价)"
22;"Python Linux系统管理与自动化运维";"8.1";"(28人评价)"
23;"高性能Linux服务器构建实战 : 运维监控、性能调优与集群应用";"6.4";"(99人评价)"
24;"App 后台开发运维和架构实践";"7.2";"(62人评价)"
25;"高性能Linux服务器构建实战 : 系统安全、故障排查、自动化运维与集群架构";"6.6";"(39人评价)"
26;"进化 : 运维技术变革与实践探索";"8.0";"(29人评价)"
27;"决战Nginx系统卷 : 高性能Web服务器详解与运维";"5.6";"(26人评价)"
28;"决战Nginx技术卷 : 高性能Web服务器部署与运维";"(评价人数不足)";"(57人评价)"
29;"网站运维技术与实践";"7.3";"(31人评价)"
30;"运维前线 : 一线运维专家的运维方法、技巧与实践";"(评价人数不足)";"(12人评价)"
31;"从运维菜鸟到大咖你还有多远 : 数据中心设施运维指南";"7.2";"(29人评价)"
32;"云数据中心构建实战 : 核心技术、运维管理、安全与高可用";"(评价人数不足)";"(22人评价)"
33;"Linux运维之道";"7.4";"(21人评价)"
34;"叱咤风云 : GoldenGate企业级运维实战";"(评价人数不足)";"(16人评价)"
35;"SRE : Google运维解密";"9.0";"(243人评价)"
36;"凤凰项目 : 一个IT运维的传奇故事";"8.7";"(578人评价)"
37;"Redis开发与运维";"9.0";"(181人评价)"
38;"Python自动化运维 : 技术与最佳实践";"5.4";"(100人评价)"
39;"DevOps故障排除 : Linux服务器运维最佳实践";"7.0";"(39人评价)"
40;"跟老男孩学Linux运维：Web集群实战";"8.1";"(19人评价)"
41;"海量运维、运营规划之道";"6.9";"(118人评价)"
42;"Python Linux系统管理与自动化运维";"8.1";"(28人评价)"
43;"高性能Linux服务器构建实战 : 运维监控、性能调优与集群应用";"6.4";"(99人评价)"
44;"App 后台开发运维和架构实践";"7.2";"(62人评价)"
45;"高性能Linux服务器构建实战 : 系统安全、故障排查、自动化运维与集群架构";"6.6";"(39人评价)"
46;"进化 : 运维技术变革与实践探索";"8.0";"(29人评价)"
47;"决战Nginx系统卷 : 高性能Web服务器详解与运维";"5.6";"(26人评价)"
48;"决战Nginx技术卷 : 高性能Web服务器部署与运维";"(评价人数不足)";"(57人评价)"
49;"网站运维技术与实践";"7.3";"(31人评价)"
50;"运维前线 : 一线运维专家的运维方法、技巧与实践";"(评价人数不足)";"(12人评价)"
51;"从运维菜鸟到大咖你还有多远 : 数据中心设施运维指南";"7.2";"(29人评价)"
52;"云数据中心构建实战 : 核心技术、运维管理、安全与高可用";"(评价人数不足)";"(22人评价)"
53;"Linux运维之道";"7.4";"(21人评价)"
54;"叱咤风云 : GoldenGate企业级运维实战";"(评价人数不足)";"(16人评价)"
55;"网站运维 : Keeping the data on time";"(评价人数不足)";"(12人评价)"
56;"系统运维全面解析 : 技术、管理与实践";"(评价人数不足)";"(13人评价)"
57;"自动化运维软件设计实战";"5.8";"(11人评价)"
58;"SRE : Google运维解密";"9.0";"(243人评价)"
59;"凤凰项目 : 一个IT运维的传奇故事";"8.7";"(578人评价)"
60;"Redis开发与运维";"9.0";"(181人评价)"
61;"Python自动化运维 : 技术与最佳实践";"5.4";"(100人评价)"
62;"DevOps故障排除 : Linux服务器运维最佳实践";"7.0";"(39人评价)"
63;"跟老男孩学Linux运维：Web集群实战";"8.1";"(19人评价)"
64;"海量运维、运营规划之道";"6.9";"(118人评价)"
65;"Python Linux系统管理与自动化运维";"8.1";"(28人评价)"
66;"高性能Linux服务器构建实战 : 运维监控、性能调优与集群应用";"6.4";"(99人评价)"
67;"App 后台开发运维和架构实践";"7.2";"(62人评价)"
68;"高性能Linux服务器构建实战 : 系统安全、故障排查、自动化运维与集群架构";"6.6";"(39人评价)"
69;"进化 : 运维技术变革与实践探索";"8.0";"(29人评价)"
70;"决战Nginx系统卷 : 高性能Web服务器详解与运维";"5.6";"(26人评价)"
71;"决战Nginx技术卷 : 高性能Web服务器部署与运维";"(评价人数不足)";"(57人评价)"
72;"网站运维技术与实践";"7.3";"(31人评价)"
73;"运维前线 : 一线运维专家的运维方法、技巧与实践";"(评价人数不足)";"(12人评价)"
74;"从运维菜鸟到大咖你还有多远 : 数据中心设施运维指南";"7.2";"(29人评价)"
75;"云数据中心构建实战 : 核心技术、运维管理、安全与高可用";"(评价人数不足)";"(22人评价)"
76;"Linux运维之道";"7.4";"(21人评价)"
77;"叱咤风云 : GoldenGate企业级运维实战";"(评价人数不足)";"(16人评价)"
78;"网站运维 : Keeping the data on time";"(评价人数不足)";"(12人评价)"
79;"系统运维全面解析 : 技术、管理与实践";"(评价人数不足)";"(13人评价)"
80;"自动化运维软件设计实战";"5.8";"(11人评价)"
81;"运筹帷幄DB2 : 从Oracle运维转型";"(评价人数不足)";"(35人评价)"
82;"DevOps实战 : VMware管理员运维方法、工具及最佳实践";"(评价人数不足)";"(14人评价)"
83;"SRE : Google运维解密";"9.0";"(243人评价)"
84;"凤凰项目 : 一个IT运维的传奇故事";"8.7";"(578人评价)"
85;"Redis开发与运维";"9.0";"(181人评价)"
86;"Python自动化运维 : 技术与最佳实践";"5.4";"(100人评价)"
87;"DevOps故障排除 : Linux服务器运维最佳实践";"7.0";"(39人评价)"
88;"跟老男孩学Linux运维：Web集群实战";"8.1";"(19人评价)"
89;"海量运维、运营规划之道";"6.9";"(118人评价)"
90;"Python Linux系统管理与自动化运维";"8.1";"(28人评价)"
91;"高性能Linux服务器构建实战 : 运维监控、性能调优与集群应用";"6.4";"(99人评价)"
92;"App 后台开发运维和架构实践";"7.2";"(62人评价)"
93;"高性能Linux服务器构建实战 : 系统安全、故障排查、自动化运维与集群架构";"6.6";"(39人评价)"
94;"进化 : 运维技术变革与实践探索";"8.0";"(29人评价)"
95;"决战Nginx系统卷 : 高性能Web服务器详解与运维";"5.6";"(26人评价)"
96;"决战Nginx技术卷 : 高性能Web服务器部署与运维";"(评价人数不足)";"(57人评价)"
97;"网站运维技术与实践";"7.3";"(31人评价)"
98;"运维前线 : 一线运维专家的运维方法、技巧与实践";"(评价人数不足)";"(12人评价)"
99;"从运维菜鸟到大咖你还有多远 : 数据中心设施运维指南";"7.2";"(29人评价)"
100;"云数据中心构建实战 : 核心技术、运维管理、安全与高可用";"(评价人数不足)";"(22人评价)"
101;"Linux运维之道";"7.4";"(21人评价)"
102;"叱咤风云 : GoldenGate企业级运维实战";"(评价人数不足)";"(16人评价)"
103;"网站运维 : Keeping the data on time";"(评价人数不足)";"(12人评价)"
104;"系统运维全面解析 : 技术、管理与实践";"(评价人数不足)";"(13人评价)"
105;"自动化运维软件设计实战";"5.8";"(11人评价)"
106;"运筹帷幄DB2 : 从Oracle运维转型";"(评价人数不足)";"(35人评价)"
107;"DevOps实战 : VMware管理员运维方法、工具及最佳实践";"(评价人数不足)";"(14人评价)"
108;"Site Reliability Engineering : How Google Runs Production Systems";"9.0";"(64人评价)"
109;"MySQL运维内参 : MySQL、Galera、Inception核心原理与最佳实践";"8.4";"(10人评价)"
110;"网络运维与管理2013超值精华本";"(评价人数不足)";"(12人评价)"
111;"跟老男孩学Linux运维：Shell编程实战";"7.0";"(100人评价)"
112;"Web容量规划的艺术";"7.6";"(69人评价)"
113;"银行数据中心基础设施建设与运维管理";"(评价人数不足)";"(49人评价)"
114;"Linux就该这么学 : 必读的Linux系统与红帽认证自学书籍";"5.7";"(22人评价)"
115;"Zabbix企业级分布式监控系统";"7.7";"(53人评价)"
116;"运维工程师成长之路";"(评价人数不足)";"(44人评价)"
117;"SRE : Google运维解密";"9.0";"(243人评价)"
118;"凤凰项目 : 一个IT运维的传奇故事";"8.7";"(578人评价)"
119;"Redis开发与运维";"9.0";"(181人评价)"
120;"Python自动化运维 : 技术与最佳实践";"5.4";"(100人评价)"
121;"DevOps故障排除 : Linux服务器运维最佳实践";"7.0";"(39人评价)"
122;"跟老男孩学Linux运维：Web集群实战";"8.1";"(19人评价)"
123;"海量运维、运营规划之道";"6.9";"(118人评价)"
124;"Python Linux系统管理与自动化运维";"8.1";"(28人评价)"
125;"高性能Linux服务器构建实战 : 运维监控、性能调优与集群应用";"6.4";"(99人评价)"
126;"App 后台开发运维和架构实践";"7.2";"(62人评价)"
127;"高性能Linux服务器构建实战 : 系统安全、故障排查、自动化运维与集群架构";"6.6";"(39人评价)"
128;"进化 : 运维技术变革与实践探索";"8.0";"(29人评价)"
129;"决战Nginx系统卷 : 高性能Web服务器详解与运维";"5.6";"(26人评价)"
130;"决战Nginx技术卷 : 高性能Web服务器部署与运维";"(评价人数不足)";"(57人评价)"
131;"网站运维技术与实践";"7.3";"(31人评价)"
132;"运维前线 : 一线运维专家的运维方法、技巧与实践";"(评价人数不足)";"(12人评价)"
133;"从运维菜鸟到大咖你还有多远 : 数据中心设施运维指南";"7.2";"(29人评价)"
134;"云数据中心构建实战 : 核心技术、运维管理、安全与高可用";"(评价人数不足)";"(22人评价)"
135;"Linux运维之道";"7.4";"(21人评价)"
136;"叱咤风云 : GoldenGate企业级运维实战";"(评价人数不足)";"(16人评价)"
137;"网站运维 : Keeping the data on time";"(评价人数不足)";"(12人评价)"
138;"系统运维全面解析 : 技术、管理与实践";"(评价人数不足)";"(13人评价)"
139;"自动化运维软件设计实战";"5.8";"(11人评价)"
140;"运筹帷幄DB2 : 从Oracle运维转型";"(评价人数不足)";"(35人评价)"
141;"DevOps实战 : VMware管理员运维方法、工具及最佳实践";"(评价人数不足)";"(14人评价)"
142;"Site Reliability Engineering : How Google Runs Production Systems";"9.0";"(64人评价)"
143;"MySQL运维内参 : MySQL、Galera、Inception核心原理与最佳实践";"8.4";"(10人评价)"
144;"网络运维与管理2013超值精华本";"(评价人数不足)";"(12人评价)"
145;"跟老男孩学Linux运维：Shell编程实战";"7.0";"(100人评价)"
146;"Web容量规划的艺术";"7.6";"(69人评价)"
147;"银行数据中心基础设施建设与运维管理";"(评价人数不足)";"(49人评价)"
148;"Linux就该这么学 : 必读的Linux系统与红帽认证自学书籍";"5.7";"(22人评价)"
149;"Zabbix企业级分布式监控系统";"7.7";"(53人评价)"
150;"运维工程师成长之路";"(评价人数不足)";"(44人评价)"
151;"VMware vSphere企业运维实战";"(评价人数不足)";"(38人评价)"
152;"云计算：规划、实施、运维";"(评价人数不足)";"(71人评价)"
153;"DevOps实践指南";"9.0";"(100人评价)"
154;"24小时365天不间断服务 : 服务器基础设施核心技术";"7.7";"(39人评价)"
155;"大规模Linux集群架构最佳实践(如何管理上千台服务器)/Linux\Unix技术丛书 : 如何管理上千台服务器";"(评价人数不足)";"(67人评价)"
156;"SRE : Google运维解密";"9.0";"(243人评价)"
157;"凤凰项目 : 一个IT运维的传奇故事";"8.7";"(578人评价)"
158;"Redis开发与运维";"9.0";"(181人评价)"
159;"Python自动化运维 : 技术与最佳实践";"5.4";"(100人评价)"
160;"DevOps故障排除 : Linux服务器运维最佳实践";"7.0";"(39人评价)"
161;"跟老男孩学Linux运维：Web集群实战";"8.1";"(19人评价)"
162;"海量运维、运营规划之道";"6.9";"(118人评价)"
163;"Python Linux系统管理与自动化运维";"8.1";"(28人评价)"
164;"高性能Linux服务器构建实战 : 运维监控、性能调优与集群应用";"6.4";"(99人评价)"
165;"App 后台开发运维和架构实践";"7.2";"(62人评价)"
166;"高性能Linux服务器构建实战 : 系统安全、故障排查、自动化运维与集群架构";"6.6";"(39人评价)"
167;"进化 : 运维技术变革与实践探索";"8.0";"(29人评价)"
168;"决战Nginx系统卷 : 高性能Web服务器详解与运维";"5.6";"(26人评价)"
169;"决战Nginx技术卷 : 高性能Web服务器部署与运维";"(评价人数不足)";"(57人评价)"
170;"网站运维技术与实践";"7.3";"(31人评价)"
171;"运维前线 : 一线运维专家的运维方法、技巧与实践";"(评价人数不足)";"(12人评价)"
172;"从运维菜鸟到大咖你还有多远 : 数据中心设施运维指南";"7.2";"(29人评价)"
173;"云数据中心构建实战 : 核心技术、运维管理、安全与高可用";"(评价人数不足)";"(22人评价)"
174;"Linux运维之道";"7.4";"(21人评价)"
175;"叱咤风云 : GoldenGate企业级运维实战";"(评价人数不足)";"(16人评价)"
176;"网站运维 : Keeping the data on time";"(评价人数不足)";"(12人评价)"
177;"系统运维全面解析 : 技术、管理与实践";"(评价人数不足)";"(13人评价)"
178;"自动化运维软件设计实战";"5.8";"(11人评价)"
179;"运筹帷幄DB2 : 从Oracle运维转型";"(评价人数不足)";"(35人评价)"
180;"DevOps实战 : VMware管理员运维方法、工具及最佳实践";"(评价人数不足)";"(14人评价)"
181;"Site Reliability Engineering : How Google Runs Production Systems";"9.0";"(64人评价)"
182;"MySQL运维内参 : MySQL、Galera、Inception核心原理与最佳实践";"8.4";"(10人评价)"
183;"网络运维与管理2013超值精华本";"(评价人数不足)";"(12人评价)"
184;"跟老男孩学Linux运维：Shell编程实战";"7.0";"(100人评价)"
185;"Web容量规划的艺术";"7.6";"(69人评价)"
186;"银行数据中心基础设施建设与运维管理";"(评价人数不足)";"(49人评价)"
187;"Linux就该这么学 : 必读的Linux系统与红帽认证自学书籍";"5.7";"(22人评价)"
188;"Zabbix企业级分布式监控系统";"7.7";"(53人评价)"
189;"运维工程师成长之路";"(评价人数不足)";"(44人评价)"
190;"VMware vSphere企业运维实战";"(评价人数不足)";"(38人评价)"
191;"云计算：规划、实施、运维";"(评价人数不足)";"(71人评价)"
192;"DevOps实践指南";"9.0";"(100人评价)"
193;"24小时365天不间断服务 : 服务器基础设施核心技术";"7.7";"(39人评价)"
194;"大规模Linux集群架构最佳实践(如何管理上千台服务器)/Linux\Unix技术丛书 : 如何管理上千台服务器";"(评价人数不足)";"(67人评价)"
195;"SRE : Google运维解密";"9.0";"(243人评价)"
196;"凤凰项目 : 一个IT运维的传奇故事";"8.7";"(578人评价)"
197;"Redis开发与运维";"9.0";"(181人评价)"
198;"Python自动化运维 : 技术与最佳实践";"5.4";"(100人评价)"
199;"DevOps故障排除 : Linux服务器运维最佳实践";"7.0";"(39人评价)"
200;"跟老男孩学Linux运维：Web集群实战";"8.1";"(19人评价)"
201;"海量运维、运营规划之道";"6.9";"(118人评价)"
202;"Python Linux系统管理与自动化运维";"8.1";"(28人评价)"
203;"高性能Linux服务器构建实战 : 运维监控、性能调优与集群应用";"6.4";"(99人评价)"
204;"App 后台开发运维和架构实践";"7.2";"(62人评价)"
205;"高性能Linux服务器构建实战 : 系统安全、故障排查、自动化运维与集群架构";"6.6";"(39人评价)"
206;"进化 : 运维技术变革与实践探索";"8.0";"(29人评价)"
207;"决战Nginx系统卷 : 高性能Web服务器详解与运维";"5.6";"(26人评价)"
208;"决战Nginx技术卷 : 高性能Web服务器部署与运维";"(评价人数不足)";"(57人评价)"
209;"网站运维技术与实践";"7.3";"(31人评价)"
210;"运维前线 : 一线运维专家的运维方法、技巧与实践";"(评价人数不足)";"(12人评价)"
211;"从运维菜鸟到大咖你还有多远 : 数据中心设施运维指南";"7.2";"(29人评价)"
212;"云数据中心构建实战 : 核心技术、运维管理、安全与高可用";"(评价人数不足)";"(22人评价)"
213;"Linux运维之道";"7.4";"(21人评价)"
214;"叱咤风云 : GoldenGate企业级运维实战";"(评价人数不足)";"(16人评价)"
215;"网站运维 : Keeping the data on time";"(评价人数不足)";"(12人评价)"
216;"系统运维全面解析 : 技术、管理与实践";"(评价人数不足)";"(13人评价)"
217;"自动化运维软件设计实战";"5.8";"(11人评价)"
